,Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level,Sleep_Hours_per_Night
14,S1014,Liam,Williams,student14@university.com,Male,19,Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,51.1665,E,5.8,No,Yes,None,Low,4,8.8
15,S1015,Ahmed,Jones,student15@university.com,Male,18,CS,86.72,63.93,91.07,81.0,66.88,6.14,77.57,75.091,B,25.3,No,Yes,None,High,2,8.6
16,S1016,Maria,Jones,student16@university.com,Female,21,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,65.27550000000001,C,29.7,No,Yes,None,Low,3,6.1
17,S1017,Liam,Davis,student17@university.com,Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,68.8025,C,6.2,No,No,PhD,Medium,10,7.6
18,S1018,Liam,Jones,student18@university.com,Male,20,CS,65.14,40.68,42.28,50.34,94.28,9.44,56.29,47.94250000000001,F,17.4,No,Yes,None,Medium,9,4.8
19,S1019,John,Johnson,student19@university.com,Male,20,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,73.21350000000001,C,23.5,Yes,Yes,PhD,Low,10,4.4
20,S1020,Emma,Davis,student20@university.com,Male,18,CS,77.13,69.94,46.7,75.26977360574269,84.38,7.72,74.07,59.86298868028713,D,16.9,No,Yes,High School,Medium,2,8.1
21,S1021,Ahmed,Jones,student21@university.com,Male,22,Business,72.01,96.94,64.64,82.97,83.0,2.87,80.02,74.686,C,19.8,No,Yes,None,Low,8,7.5
22,S1022,Sara,Davis,student22@university.com,Male,22,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,81.67599999999999,B,28.0,Yes,Yes,None,Low,10,8.5
23,S1023,Liam,Williams,student23@university.com,Female,23,CS,83.63,50.85,81.72,58.58,65.54,4.48,89.61,68.549,C,18.5,No,Yes,Master's,Low,1,8.6
24,S1024,Maria,Williams,student24@university.com,Female,20,CS,84.53,51.11,40.36,55.59,68.89,9.94,76.05,50.4945,E,10.9,Yes,Yes,High School,Low,4,5.7
25,S1025,Emma,Davis,student25@university.com,Male,18,Business,52.3,49.8,64.18,57.63,65.79,4.13,81.9,60.074000000000005,D,23.5,No,Yes,High School,High,3,5.6
26,S1026,Emma,Johnson,student26@university.com,Male,18,Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,61.233000000000004,D,14.4,No,Yes,None,Low,10,6.2
27,S1027,Sara,Johnson,student27@university.com,Male,18,Business,70.59,40.36,80.41,58.41,91.33,9.44,90.71,68.386,C,12.1,Yes,Yes,unknown,Medium,2,7.3
28,S1028,Liam,Davis,student28@university.com,Female,21,Business,54.84,47.63,98.14,83.7,78.97,3.86,81.21,75.62,B,11.2,Yes,Yes,Bachelor's,Low,3,4.0
29,S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,77.22449999999999,B,7.0,No,Yes,Master's,High,3,6.7
30,S1030,Ahmed,Brown,student30@university.com,Female,22,CS,52.58,54.85,53.46,76.89,94.32,7.88,58.0,57.467,D,28.3,No,Yes,High School,Medium,9,4.1
31,S1031,Ali,Johnson,student31@university.com,Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,58.9415,D,19.1,No,Yes,Bachelor's,Low,3,6.3
32,S1032,Maria,Smith,student32@university.com,Female,21,CS,74.88505488474205,61.59,98.6,93.06,61.09,8.21,55.65,74.3575,C,28.9,No,Yes,None,Medium,9,4.4
33,S1033,Sara,Williams,student33@university.com,Male,19,CS,54.37,56.45,53.44,58.53,85.88,8.36,60.78,56.538,D,26.5,No,Yes,Master's,Low,4,6.8
34,S1034,Emma,Davis,student34@university.com,Female,21,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,69.3835,C,5.8,No,Yes,Master's,Low,1,5.6
35,S1035,Ahmed,Smith,student35@university.com,Female,23,CS,85.96,98.75,64.03,53.6,86.69,4.04,94.73,76.06,B,11.2,No,Yes,unknown,Medium,8,6.4
36,S1036,Maria,Davis,student36@university.com,Female,18,CS,71.96,47.46,86.1,56.84,63.17,6.67,77.85,67.475,C,12.9,No,Yes,Bachelor's,Low,10,8.8
37,S1037,Ali,Williams,student37@university.com,Male,21,CS,89.34,62.36,92.04,83.29,84.74,8.37,66.52,75.441,B,17.2,No,Yes,unknown,Low,5,5.7
38,S1038,Ali,Williams,student38@university.com,Male,18,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,72.71700000000001,C,22.9,Yes,Yes,Master's,Medium,2,7.6
39,S1039,John,Johnson,student39@university.com,Female,23,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,76.1585,B,22.0,No,Yes,Bachelor's,Low,9,7.4
40,S1040,John,Johnson,student40@university.com,Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,68.3955,C,29.7,No,Yes,PhD,Low,7,8.3
41,S1041,Omar,Smith,student41@university.com,Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,66.389,C,28.1,No,Yes,Bachelor's,Medium,6,5.7
42,S1042,Sara,Davis,student42@university.com,Male,20,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,55.432500000000005,D,9.7,No,Yes,Bachelor's,Low,2,4.3
43,S1043,Liam,Williams,student43@university.com,Male,18,CS,79.01,82.75,72.32,72.47,85.89,7.79,80.38,74.27449999999999,C,26.5,Yes,Yes,Bachelor's,High,6,8.9
44,S1044,Maria,Smith,student44@university.com,Male,22,Mathematics,84.1,98.37,49.24,62.38,77.52,1.39,60.58,64.316,D,26.1,Yes,Yes,Master's,Medium,7,5.8
45,S1045,Maria,Brown,student45@university.com,Male,21,CS,66.87,72.25,88.65,54.94,77.86,1.33,66.85,74.14949999999999,C,19.4,No,Yes,unknown,Low,5,5.0
46,S1046,Liam,Smith,student46@university.com,Male,24,CS,74.88505488474205,69.91,44.14,77.41,87.63,1.98,96.58,62.352999999999994,D,13.5,No,Yes,Master's,Low,5,8.6
47,S1047,Omar,Jones,student47@university.com,Female,23,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.7,58.7335,D,10.2,No,Yes,Master's,High,4,5.0
48,S1048,Emma,Smith,student48@university.com,Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,63.7075,D,10.3,No,Yes,Master's,Medium,10,6.6
49,S1049,Emma,Jones,student49@university.com,Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,61.0055,D,13.4,No,Yes,Master's,Low,1,7.8
50,S1050,Omar,Jones,student50@university.com,Female,19,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,70.7115,C,17.6,No,Yes,unknown,Low,10,7.7
51,S1051,Emma,Jones,student51@university.com,Female,20,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,61.033,D,19.6,Yes,Yes,PhD,Medium,7,4.1
52,S1052,John,Brown,student52@university.com,Female,19,CS,60.6,72.92,83.31,66.12,64.37,8.52,89.62,75.166,B,13.1,No,Yes,unknown,Low,3,5.0
53,S1053,Maria,Smith,student53@university.com,Female,23,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,79.47200000000001,B,13.9,No,Yes,High School,Medium,5,8.4
54,S1054,Omar,Smith,student54@university.com,Male,19,Business,75.36161862527716,52.45,85.21,93.65,61.64,8.66,92.48,72.34799999999998,C,5.3,No,Yes,High School,Medium,8,6.8
55,S1055,Maria,Brown,student55@university.com,Female,19,Business,81.75,52.5,50.77,75.12164785553047,97.27,7.79,81.44,59.52158239277652,D,5.1,No,Yes,unknown,Medium,2,7.4
56,S1056,Liam,Williams,student56@university.com,Female,20,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,75.9575,B,27.7,No,Yes,Bachelor's,Low,4,6.0
57,S1057,Ali,Johnson,student57@university.com,Male,20,CS,89.58,82.7,63.53,87.8,70.93,0.64,51.69,65.3555,C,5.4,Yes,Yes,None,Low,9,7.7
58,S1058,John,Smith,student58@university.com,Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,67.7485,C,5.8,Yes,Yes,unknown,High,2,5.4
59,S1059,Ahmed,Johnson,student59@university.com,Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.0415,C,10.1,No,No,Master's,Medium,8,5.2
60,S1060,John,Davis,student60@university.com,Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,61.284000000000006,D,23.6,No,Yes,None,Low,9,9.0
61,S1061,Omar,Davis,student61@university.com,Male,19,CS,82.34,94.72,93.7,75.26977360574269,79.49,6.06,57.93,81.86498868028714,B,22.0,No,Yes,unknown,Low,3,4.8
62,S1062,Ahmed,Brown,student62@university.com,Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,71.0635,C,21.2,Yes,Yes,PhD,Medium,5,8.9
63,S1063,Ali,Davis,student63@university.com,Male,22,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,65.92,C,19.4,No,Yes,Bachelor's,Medium,4,8.6
64,S1064,Omar,Davis,student64@university.com,Male,20,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,54.48650000000001,E,10.0,No,Yes,Master's,Low,10,7.6
65,S1065,Sara,Williams,student65@university.com,Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,69.63900000000001,C,14.9,No,No,Master's,High,10,6.9
66,S1066,Maria,Williams,student66@university.com,Male,21,Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,77.36000000000001,B,17.0,No,Yes,Bachelor's,Low,8,4.0
67,S1067,Ali,Williams,student67@university.com,Male,18,CS,59.79,58.62,57.78,93.17,94.13,7.6,60.83,61.343,D,19.6,No,Yes,PhD,Low,8,7.2
68,S1068,Maria,Davis,student68@university.com,Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,69.601,C,10.0,No,Yes,PhD,Low,5,7.9
69,S1069,Emma,Brown,student69@university.com,Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,67.87049999999999,C,23.2,No,Yes,None,High,5,7.7
70,S1070,Sara,Jones,student70@university.com,Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,73.9945,C,12.7,No,Yes,High School,High,1,4.9
71,S1071,Sara,Jones,student71@university.com,Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,69.38550000000001,C,21.5,No,Yes,High School,Low,5,6.7
72,S1072,Ali,Johnson,student72@university.com,Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,65.6375,C,17.8,Yes,No,PhD,Low,1,6.8
73,S1073,Sara,Jones,student73@university.com,Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,58.7705,D,19.8,Yes,Yes,Bachelor's,High,4,7.3
74,S1074,Ahmed,Jones,student74@university.com,Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,74.517,C,15.3,No,Yes,unknown,Low,7,8.2
75,S1075,Sara,Williams,student75@university.com,Female,18,CS,82.81,64.68,68.19,66.92,57.48,1.3,63.49,62.1285,D,16.1,No,Yes,High School,Low,2,7.5
76,S1076,Maria,Williams,student76@university.com,Female,21,Engineering,70.77,70.22,66.31,74.16572280178838,62.41,5.81,56.51,62.79528614008942,D,26.7,No,Yes,unknown,High,1,4.7
77,S1077,Maria,Davis,student77@university.com,Male,20,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,84.1695,B,16.9,Yes,Yes,Bachelor's,High,2,4.1
78,S1078,Omar,Johnson,student78@university.com,Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,56.977999999999994,D,24.8,No,Yes,Master's,Medium,7,4.7
79,S1079,Maria,Smith,student79@university.com,Male,24,CS,66.98,87.9,55.08,75.26977360574269,84.75,6.95,94.17,70.71848868028714,C,14.9,No,Yes,Bachelor's,Low,3,4.2
80,S1080,Omar,Johnson,student80@university.com,Female,22,CS,81.72,46.07,47.28,75.26977360574269,98.23,2.94,61.99,53.46148868028713,E,22.5,Yes,Yes,unknown,High,5,6.2
81,S1081,Maria,Johnson,student81@university.com,Female,23,CS,74.88505488474205,87.98,42.12,70.51,55.98,1.61,77.46,59.666,D,10.8,No,Yes,Master's,Low,1,5.4
82,S1082,Ahmed,Brown,student82@university.com,Male,20,Mathematics,75.68118451025057,47.22,56.54,65.88,69.96,8.5,55.75,53.4985,E,27.9,No,Yes,unknown,Low,10,4.0
83,S1083,Liam,Davis,student83@university.com,Male,20,CS,57.47,47.48,99.31,71.92,61.2,4.6,77.66,73.189,C,29.2,No,Yes,Master's,Medium,10,4.4
84,S1084,Omar,Brown,student84@university.com,Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,64.9545,D,27.5,Yes,Yes,unknown,High,10,6.0
85,S1085,John,Johnson,student85@university.com,Female,20,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,77.094,B,13.7,No,Yes,None,Low,8,8.7
86,S1086,Emma,Johnson,student86@university.com,Male,18,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,64.687,D,11.9,No,Yes,Master's,Medium,4,9.0
87,S1087,Ali,Johnson,student87@university.com,Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,76.8825,B,9.6,Yes,Yes,PhD,Medium,10,4.3
88,S1088,Maria,Jones,student88@university.com,Female,21,Engineering,76.1496214988645,99.36,99.07,73.48,83.84,3.77,62.91,86.151,A,26.8,No,Yes,PhD,High,2,8.2
89,S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,75.68118451025057,76.64,57.51,61.99,96.23,3.62,72.4,65.92750000000001,C,8.0,No,Yes,Bachelor's,Medium,8,6.4
90,S1090,Liam,Johnson,student90@university.com,Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.0,78.6225,B,21.1,No,Yes,PhD,Medium,10,7.1
91,S1091,Maria,Williams,student91@university.com,Female,22,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,81.4275,B,13.3,No,Yes,Bachelor's,Medium,5,6.5
92,S1092,Sara,Davis,student92@university.com,Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,68.44,C,9.7,No,Yes,PhD,Medium,2,8.6
93,S1093,Emma,Davis,student93@university.com,Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,55.87350000000001,D,9.6,No,Yes,High School,Low,9,6.4
94,S1094,Emma,Williams,student94@university.com,Male,22,CS,74.88505488474205,85.57,80.41,75.26977360574269,57.11,4.97,50.27,70.81998868028714,C,26.8,No,Yes,High School,High,6,4.8
95,S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.0,76.21,73.233,C,26.5,Yes,Yes,High School,Medium,8,7.9
96,S1096,Sara,Jones,student96@university.com,Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,52.893,E,11.8,No,Yes,High School,Medium,2,6.6
97,S1097,Maria,Jones,student97@university.com,Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,67.0175,C,5.8,Yes,Yes,unknown,Medium,5,4.6
98,S1098,Emma,Smith,student98@university.com,Female,22,CS,97.94,61.52,59.15,71.03,56.47,10.0,58.37,57.494,D,26.7,No,Yes,PhD,Low,3,6.3
99,S1099,Ahmed,Smith,student99@university.com,Male,22,CS,88.66,97.91,57.0,57.87,91.16,5.19,90.87,73.17699999999999,C,6.4,No,Yes,Master's,Medium,8,7.4
100,S1100,Omar,Smith,student100@university.com,Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,82.3725,B,7.1,No,No,Master's,Medium,1,5.5
101,S1101,Sara,Davis,student101@university.com,Female,23,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,67.2025,C,25.5,No,Yes,Master's,Low,9,8.6
102,S1102,Sara,Jones,student102@university.com,Male,24,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,66.8295,C,25.4,No,Yes,High School,Low,6,8.2
103,S1103,Maria,Jones,student103@university.com,Female,22,CS,50.32,94.19,76.21,53.48,99.5,1.03,57.33,75.3065,B,10.1,No,Yes,unknown,Medium,1,6.8
104,S1104,Sara,Jones,student104@university.com,Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,63.72,D,6.0,No,Yes,PhD,Medium,3,4.3
105,S1105,Sara,Williams,student105@university.com,Female,23,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,67.518,C,6.6,No,Yes,unknown,High,8,6.9
106,S1106,Emma,Jones,student106@university.com,Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,67.1185,C,16.3,Yes,Yes,Bachelor's,Medium,8,6.1
107,S1107,Maria,Williams,student107@university.com,Female,22,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,61.884,D,15.5,No,Yes,High School,Low,3,7.6
108,S1108,Emma,Smith,student108@university.com,Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,56.12100000000001,D,9.6,No,Yes,None,Low,10,5.3
109,S1109,Omar,Smith,student109@university.com,Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,63.95,D,27.7,Yes,Yes,None,Medium,8,7.0
110,S1110,Liam,Davis,student110@university.com,Male,24,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,71.789,C,18.8,Yes,Yes,None,High,6,6.8
111,S1111,Omar,Smith,student111@university.com,Female,21,Engineering,98.51,79.54,89.0,65.39,51.19,1.91,71.59,74.70750000000001,C,25.2,No,Yes,PhD,Low,7,6.6
112,S1112,Liam,Davis,student112@university.com,Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,82.158,B,7.6,No,Yes,Bachelor's,Medium,2,4.6
113,S1113,Emma,Johnson,student113@university.com,Female,20,CS,67.5,41.34,54.13,73.53,68.85,1.46,94.13,56.741,D,29.3,Yes,Yes,High School,Low,1,6.4
114,S1114,Omar,Johnson,student114@university.com,Female,18,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.3,61.481,D,25.2,No,Yes,unknown,Low,1,6.8
115,S1115,Maria,Brown,student115@university.com,Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,74.88550000000001,C,12.2,No,Yes,unknown,Medium,3,8.6
116,S1116,Ali,Davis,student116@university.com,Male,20,CS,50.07,51.46,64.52,95.28,68.21,9.6,73.87,61.8185,D,5.5,Yes,Yes,Master's,Medium,7,6.3
117,S1117,Emma,Brown,student117@university.com,Female,21,CS,74.88505488474205,77.95,95.93,52.68,70.11,6.95,76.29,79.2955,B,9.1,No,Yes,High School,Low,9,7.2
118,S1118,Liam,Brown,student118@university.com,Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,74.037,C,15.5,No,Yes,High School,High,2,6.8
119,S1119,Ahmed,Johnson,student119@university.com,Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,61.963,D,5.1,No,Yes,None,Medium,6,5.0
120,S1120,Liam,Davis,student120@university.com,Female,24,CS,67.25,58.15,55.54,59.53,56.1,2.35,71.57,56.193,D,6.0,Yes,Yes,unknown,Medium,8,4.9
121,S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,62.3085,D,7.5,Yes,Yes,None,Medium,9,7.7
122,S1122,Sara,Brown,student122@university.com,Male,21,Mathematics,68.0,89.77,51.76,56.82,85.86,8.96,54.22,63.1545,D,25.2,No,Yes,unknown,Low,10,6.6
123,S1123,Omar,Davis,student123@university.com,Male,19,CS,50.8,99.88,94.47,66.61,65.66,7.55,85.53,85.8615,A,18.7,Yes,Yes,PhD,High,3,8.5
124,S1124,Ahmed,Brown,student124@university.com,Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,84.8065,B,9.8,Yes,Yes,PhD,Medium,5,8.5
125,S1125,Liam,Jones,student125@university.com,Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,61.452,D,11.6,No,Yes,Bachelor's,High,5,5.5
126,S1126,Sara,Davis,student126@university.com,Male,21,CS,54.0,51.61,75.62,85.1,60.75,9.79,59.58,62.907000000000004,D,21.1,Yes,Yes,unknown,Low,8,4.5
127,S1127,Ali,Davis,student127@university.com,Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,69.5395,C,13.0,No,Yes,Bachelor's,High,1,5.7
128,S1128,Maria,Brown,student128@university.com,Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.1,74.52,73.138,C,22.1,No,Yes,PhD,Low,3,4.3
129,S1129,Maria,Jones,student129@university.com,Male,20,Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,72.3425,C,24.5,Yes,No,Master's,Low,6,7.9
130,S1130,Maria,Williams,student130@university.com,Male,22,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,79.313,B,12.7,Yes,Yes,High School,Low,6,4.7
131,S1131,Ahmed,Johnson,student131@university.com,Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,56.660500000000006,D,14.2,No,Yes,PhD,High,4,8.3
132,S1132,Ali,Brown,student132@university.com,Female,23,CS,52.9,84.2,47.22,64.81,72.71,3.77,57.15,59.21050000000001,D,6.3,No,Yes,unknown,Low,5,6.1
133,S1133,Ahmed,Davis,student133@university.com,Male,21,Mathematics,79.18,64.39,42.0,74.14574324324325,89.38,2.93,85.69,58.542787162162156,D,25.5,No,Yes,Master's,Medium,10,5.4
134,S1134,Omar,Johnson,student134@university.com,Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,59.707,D,20.2,No,Yes,None,Low,3,6.5
135,S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,70.904,C,27.2,No,Yes,Master's,Low,4,7.0
136,S1136,Ali,Johnson,student136@university.com,Male,23,Business,75.36161862527716,73.46,65.85,95.6,83.23,1.09,80.61,69.95400000000001,C,9.7,Yes,Yes,PhD,Medium,10,7.5
137,S1137,Ali,Williams,student137@university.com,Female,20,Engineering,63.02,59.87,70.2,76.74,70.48,9.54,75.72,65.7675,C,29.0,No,Yes,unknown,High,10,5.7
138,S1138,Omar,Smith,student138@university.com,Female,19,Business,92.88,60.64,85.47,75.12164785553047,85.5,2.94,80.96,73.94508239277653,C,22.7,No,Yes,unknown,Low,1,8.9
139,S1139,Ali,Brown,student139@university.com,Male,21,CS,68.73,57.42,63.53,88.8,62.83,2.95,97.16,65.2115,C,9.9,Yes,Yes,unknown,Medium,6,6.1
140,S1140,Liam,Smith,student140@university.com,Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,62.908,D,16.6,No,Yes,Bachelor's,Medium,5,8.2
141,S1141,Ali,Smith,student141@university.com,Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,74.845,C,22.5,No,Yes,unknown,Low,5,4.2
142,S1142,Maria,Smith,student142@university.com,Male,22,Engineering,82.73,72.88,90.99,74.16572280178838,71.08,4.19,81.81,77.91328614008941,B,5.4,No,Yes,unknown,High,4,7.9
143,S1143,Liam,Johnson,student143@university.com,Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,69.596,C,24.5,Yes,Yes,PhD,Medium,9,6.8
144,S1144,Liam,Jones,student144@university.com,Female,18,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,63.8755,D,28.7,No,Yes,Bachelor's,High,9,7.2
145,S1145,Omar,Johnson,student145@university.com,Male,22,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,70.5635,C,7.0,No,Yes,None,Low,5,5.9
146,S1146,John,Johnson,student146@university.com,Female,24,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,57.9525,D,27.5,No,Yes,Bachelor's,Low,7,6.7
147,S1147,John,Davis,student147@university.com,Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,71.0195,C,16.6,No,Yes,Bachelor's,Medium,3,8.7
148,S1148,Ali,Davis,student148@university.com,Female,20,Business,70.67,44.09,66.9,59.24,99.45,4.39,52.83,58.8335,D,17.9,No,Yes,unknown,High,1,5.9
149,S1149,Liam,Smith,student149@university.com,Female,22,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.879000000000005,D,26.0,No,Yes,PhD,Low,1,4.5
150,S1150,John,Johnson,student150@university.com,Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,60.219,D,19.7,No,Yes,High School,Low,3,7.6
151,S1151,John,Smith,student151@university.com,Male,21,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,73.689,C,13.8,No,Yes,PhD,Medium,3,6.5
